time,Rainf,Humidity,Air Temperature,Wind_N,Wind_E,Weather
2023-08-01 00:00:00,0.0,0.0105877,293.85,-1.43,0.54,No Rain
2023-08-01 01:00:00,0.0,0.0103852,293.02,-1.69,0.67,No Rain
2023-08-01 02:00:00,0.0,0.0101828,292.2,-1.95,0.8,No Rain
2023-08-01 03:00:00,0.0,0.0099803,291.37,-2.21,0.93,No Rain
2023-08-01 04:00:00,0.0,0.0096927,290.95,-1.99,0.71,No Rain
2023-08-01 05:00:00,0.0,0.009405,290.52,-1.76,0.5,No Rain
2023-08-01 06:00:00,0.0,0.0091174,290.1,-1.53,0.28,No Rain
2023-08-01 07:00:00,0.0,0.008969,289.52,-1.68,-0.07,No Rain
2023-08-01 08:00:00,0.0,0.0088206,288.95,-1.82,-0.41,No Rain
2023-08-01 09:00:00,0.0,0.0086722,288.37,-1.97,-0.75,No Rain
2023-08-01 10:00:00,0.0,0.0091353,289.19,-1.96,-0.95,No Rain
2023-08-01 11:00:00,0.0,0.0095984,290.01,-1.96,-1.15,No Rain
2023-08-01 12:00:00,0.0,0.0100614,290.83,-1.95,-1.35,No Rain
2023-08-01 13:00:00,0.0,0.0097453,292.06,-1.46,-1.17,No Rain
2023-08-01 14:00:00,0.0,0.0094291,293.3,-0.97,-0.99,No Rain
2023-08-01 15:00:00,0.0,0.009113,294.54,-0.49,-0.82,No Rain
2023-08-01 16:00:00,0.0,0.0091543,295.36,0.08,-0.9,No Rain
2023-08-01 17:00:00,0.3673,0.0091955,296.18,0.65,-0.98,Light Rain
2023-08-01 18:00:00,0.0,0.0092368,297.0,1.22,-1.06,No Rain
2023-08-01 19:00:00,0.0,0.0094208,297.16,1.47,-1.02,No Rain
2023-08-01 20:00:00,0.0,0.0096048,297.32,1.71,-0.98,No Rain
2023-08-01 21:00:00,0.0,0.0097889,297.49,1.95,-0.94,No Rain
2023-08-01 22:00:00,0.0,0.0103973,296.51,1.71,-1.3,No Rain
2023-08-01 23:00:00,0.0,0.0110058,295.54,1.47,-1.67,No Rain
2022-08-01 00:00:00,0.0,0.011153,300.98,1.03,-2.53,No Rain
2022-08-01 01:00:00,0.0,0.011395,298.42,1.15,-2.34,No Rain
2022-08-01 02:00:00,0.0,0.011637,295.86,1.28,-2.16,No Rain
2022-08-01 03:00:00,0.0,0.011879,293.3,1.41,-1.98,No Rain
2022-08-01 04:00:00,0.0,0.0118111,292.82,1.66,-1.11,No Rain
2022-08-01 05:00:00,0.0,0.0117432,292.34,1.9,-0.24,No Rain
2022-08-01 06:00:00,0.0,0.0116752,291.85,2.15,0.62,No Rain
2022-08-01 07:00:00,0.0,0.0116261,291.6,2.12,1.24,No Rain
2022-08-01 08:00:00,0.0,0.0115769,291.35,2.09,1.85,No Rain
2022-08-01 09:00:00,0.0,0.0115278,291.1,2.07,2.46,No Rain
2022-08-01 10:00:00,0.0,0.0118615,292.26,2.26,2.35,No Rain
2022-08-01 11:00:00,0.0,0.0121951,293.42,2.45,2.23,No Rain
2022-08-01 12:00:00,0.0,0.0125288,294.58,2.65,2.12,No Rain
2022-08-01 13:00:00,0.0,0.0126055,296.8,2.85,1.91,No Rain
2022-08-01 14:00:00,0.0,0.0126823,299.02,3.06,1.7,No Rain
2022-08-01 15:00:00,0.0,0.012759,301.24,3.27,1.5,No Rain
2022-08-01 16:00:00,0.0,0.0127094,301.94,3.81,1.43,No Rain
2022-08-01 17:00:00,0.0,0.0126598,302.65,4.36,1.36,No Rain
2022-08-01 18:00:00,0.0,0.0126102,303.35,4.9,1.29,No Rain
2022-08-01 19:00:00,0.0,0.012545,303.75,4.67,1.69,No Rain
2022-08-01 20:00:00,0.0,0.0124798,304.15,4.44,2.09,No Rain
2022-08-01 21:00:00,0.0,0.0124146,304.56,4.2,2.48,No Rain
2022-08-01 22:00:00,0.0493,0.0126565,303.5,4.24,3.2,Very Light Rain
2022-08-01 23:00:00,0.0405,0.0128983,302.45,4.28,3.91,Very Light Rain
2021-08-01 00:00:00,0.0664,0.010808,291.66,0.88,-2.43,Very Light Rain
2021-08-01 01:00:00,0.0512,0.0107149,290.98,1.39,-2.49,Very Light Rain
2021-08-01 02:00:00,0.0264,0.0106219,290.3,1.89,-2.55,Very Light Rain
2021-08-01 03:00:00,0.0512,0.0105288,289.62,2.39,-2.6,Very Light Rain
2021-08-01 04:00:00,0.0968,0.0104867,289.44,2.48,-2.41,Very Light Rain
2021-08-01 05:00:00,0.06,0.010445,289.26,2.57,-2.21,Very Light Rain
2021-08-01 06:00:00,0.0192,0.0104032,289.08,2.66,-2.02,Very Light Rain
2021-08-01 07:00:00,0.0,0.0103807,289.17,2.36,-1.43,No Rain
2021-08-01 08:00:00,0.0,0.0103584,289.25,2.07,-0.84,No Rain
2021-08-01 09:00:00,0.0,0.0103359,289.34,1.77,-0.25,No Rain
2021-08-01 10:00:00,0.0028,0.0106859,290.15,1.19,-0.17,Very Light Rain
2021-08-01 11:00:00,0.0024,0.011036,290.97,0.6,-0.1,Very Light Rain
2021-08-01 12:00:00,0.0024,0.0113861,291.78,0.02,-0.02,Very Light Rain
2021-08-01 13:00:00,0.1112,0.0111329,292.61,0.51,0.86,Very Light Rain
2021-08-01 14:00:00,0.2832,0.0108801,293.44,1.0,1.75,Light Rain
2021-08-01 15:00:00,0.5472,0.0106272,294.27,1.49,2.63,Light Rain
2021-08-01 16:00:00,0.2904,0.0103539,294.69,1.07,2.4,Light Rain
2021-08-01 17:00:00,0.1472,0.0100805,295.12,0.65,2.16,Very Light Rain
2021-08-01 18:00:00,0.0632,0.0098073,295.54,0.23,1.93,Very Light Rain
2021-08-01 19:00:00,0.0064,0.0096323,295.71,-0.09,1.8,Very Light Rain
2021-08-01 20:00:00,0.0064,0.0094575,295.88,-0.41,1.67,Very Light Rain
2021-08-01 21:00:00,0.0064,0.0092826,296.05,-0.72,1.53,Very Light Rain
2021-08-01 22:00:00,0.0016,0.0093832,295.37,-1.29,1.37,Very Light Rain
2021-08-01 23:00:00,0.0016,0.0094837,294.7,-1.86,1.21,Very Light Rain
2020-08-01 00:00:00,0.0,0.0093147,301.58,1.23,-1.5,No Rain
